"player_id","name","year","team","kick_returns","yards_kick_returned","kick_returns_for_tds","punt_returns","yards_punt_returned","punt_returns_for_tds"
tomfarris/2513861,"Farris, Tom","1948",Chicago Rockets,--,--,--,--,--,--
tomfarris/2513861,"Farris, Tom","1947",Chicago Bears,--,--,--,--,--,--
tomfarris/2513861,"Farris, Tom","1946",Chicago Bears,"1","27","0","2","4","0"
joeadams/2532782,"Adams, Joe","2012",Carolina Panthers,"9","208","0","11","127","0"
clarenceverdin/2503464,"Verdin, Clarence","1994",Atlanta Falcons,"44","1,026","0","23","113","0"
clarenceverdin/2503464,"Verdin, Clarence","1993",Indianapolis Colts,"50","1,050","0","30","173","0"
clarenceverdin/2503464,"Verdin, Clarence","1992",Indianapolis Colts,"39","815","0","24","268","2"
clarenceverdin/2503464,"Verdin, Clarence","1991",Indianapolis Colts,"36","689","1","25","165","0"
clarenceverdin/2503464,"Verdin, Clarence","1990",Indianapolis Colts,"18","350","0","31","396","0"
clarenceverdin/2503464,"Verdin, Clarence","1989",Indianapolis Colts,"19","371","0","23","296","1"
clarenceverdin/2503464,"Verdin, Clarence","1988",Indianapolis Colts,"7","145","0","22","239","1"
clarenceverdin/2503464,"Verdin, Clarence","1987",Washington Redskins,"12","244","0",--,--,--
clarenceverdin/2503464,"Verdin, Clarence","1986",Washington Redskins,"12","240","0",--,--,--
howardsampson/2524829,"Sampson, Howard","1979",Green Bay Packers,"3","45","0",--,--,--
howardsampson/2524829,"Sampson, Howard","1978",Green Bay Packers,"1","23","0","1","0","0"
t.j.carrie/2550164,"Carrie, T.J.","2016",Oakland Raiders,--,--,--,"7","74","0"
t.j.carrie/2550164,"Carrie, T.J.","2015",Oakland Raiders,--,--,--,"19","118","0"
t.j.carrie/2550164,"Carrie, T.J.","2014",Oakland Raiders,"15","362","0","26","195","0"
breezyreid/2523928,"Reid, Breezy","1956",Green Bay Packers,--,--,--,"1","0","0"
breezyreid/2523928,"Reid, Breezy","1955",Green Bay Packers,"2","21","0",--,--,--
breezyreid/2523928,"Reid, Breezy","1954",Green Bay Packers,--,--,--,--,--,--
breezyreid/2523928,"Reid, Breezy","1953",Green Bay Packers,"4","82","0",--,--,--
breezyreid/2523928,"Reid, Breezy","1952",Green Bay Packers,--,--,--,--,--,--
breezyreid/2523928,"Reid, Breezy","1951",Green Bay Packers,--,--,--,--,--,--
breezyreid/2523928,"Reid, Breezy","1950",Green Bay Packers,--,--,--,--,--,--
tommypharr/2523147,"Pharr, Tommy","1970",Buffalo Bills,"1","6","0","23","184","0"
johnnyknolla/2518652,"Knolla, Johnny","1945",Chicago Cardinals,"6","114","0","3","43","0"
johnnyknolla/2518652,"Knolla, Johnny","1942",Chicago Cardinals,"1","24","0","6","64","0"
lanceharkey/2515842,"Harkey, Lance","1987",Los Angeles Raiders,"1","20","0","2","17","0"
tonydavis/2512597,"Davis, Tony","1981",Tampa Bay Buccaneers,"3","51","0",--,--,--
tonydavis/2512597,"Davis, Tony","1980",Tampa Bay Buccaneers,"4","58","0","0","0","0"
tonydavis/2512597,"Davis, Tony","1979",Tampa Bay Buccaneers,"4","33","0","1","7","0"
tonydavis/2512597,"Davis, Tony","1978",Cincinnati Bengals,"3","51","0","22","130","0"
tonydavis/2512597,"Davis, Tony","1977",Cincinnati Bengals,"3","42","0","19","220","0"
tonydavis/2512597,"Davis, Tony","1976",Cincinnati Bengals,"4","21","0","0","0","0"
willblackmon/2495809,"Blackmon, Will","2016",Washington Redskins,"4","109","0","1","16","0"
willblackmon/2495809,"Blackmon, Will","2015",Washington Redskins,--,--,--,--,--,--
willblackmon/2495809,"Blackmon, Will","2014",Jacksonville Jaguars,--,--,--,--,--,--
willblackmon/2495809,"Blackmon, Will","2013",Jacksonville Jaguars,--,--,--,"5","2","0"
willblackmon/2495809,"Blackmon, Will","2011",New York Giants,"2","43","0","6","25","0"
willblackmon/2495809,"Blackmon, Will","2010",New York Giants,"13","238","0","14","94","0"
willblackmon/2495809,"Blackmon, Will","2009",Green Bay Packers,"10","233","0","3","11","0"
willblackmon/2495809,"Blackmon, Will","2008",Green Bay Packers,"55","1,157","0","36","398","2"
willblackmon/2495809,"Blackmon, Will","2007",Green Bay Packers,"1","3","0","8","106","1"
willblackmon/2495809,"Blackmon, Will","2006",Green Bay Packers,--,--,--,--,--,--
brandontate/81306,"Tate, Brandon","2016",Buffalo Bills,"29","662","0","26","301","0"
brandontate/81306,"Tate, Brandon","2015",Cincinnati Bengals,"18","413","0","27","171","0"
brandontate/81306,"Tate, Brandon","2014",Cincinnati Bengals,"18","397","0","18","174","0"
brandontate/81306,"Tate, Brandon","2013",Cincinnati Bengals,"35","914","0","36","336","0"
brandontate/81306,"Tate, Brandon","2012",Cincinnati Bengals,"32","795","0","21","187","0"
brandontate/81306,"Tate, Brandon","2011",Cincinnati Bengals,"42","998","0","51","543","1"
brandontate/81306,"Tate, Brandon","2010",New England Patriots,"41","1,057","2","1","4","0"
brandontate/81306,"Tate, Brandon","2009",New England Patriots,"4","106","0",--,--,--
bobglazebrook/2514951,"Glazebrook, Bob","1983",Atlanta Falcons,"2","0","0",--,--,--
bobglazebrook/2514951,"Glazebrook, Bob","1982",Atlanta Falcons,--,--,--,--,--,--
bobglazebrook/2514951,"Glazebrook, Bob","1981",Atlanta Falcons,--,--,--,--,--,--
bobglazebrook/2514951,"Glazebrook, Bob","1980",Atlanta Falcons,--,--,--,"0","0","0"
bobglazebrook/2514951,"Glazebrook, Bob","1979",Atlanta Falcons,--,--,--,"1",-1,"0"
bobglazebrook/2514951,"Glazebrook, Bob","1978",Atlanta Falcons,--,--,--,"0","0","0"
patrickchung/71251,"Chung, Patrick","2016",New England Patriots,--,--,--,"1","7","0"
patrickchung/71251,"Chung, Patrick","2015",New England Patriots,"1","17","0","1","4","0"
patrickchung/71251,"Chung, Patrick","2014",New England Patriots,"7","140","0",--,--,--
patrickchung/71251,"Chung, Patrick","2013",Philadelphia Eagles,--,--,--,--,--,--
patrickchung/71251,"Chung, Patrick","2012",New England Patriots,--,--,--,--,--,--
patrickchung/71251,"Chung, Patrick","2011",New England Patriots,--,--,--,--,--,--
patrickchung/71251,"Chung, Patrick","2010",New England Patriots,--,--,--,--,--,--
patrickchung/71251,"Chung, Patrick","2009",New England Patriots,--,--,--,--,--,--
williereid/2495933,"Reid, Willie","2007",Pittsburgh Steelers,"6","127","0",--,--,--
williereid/2495933,"Reid, Willie","2006",Pittsburgh Steelers,"1","19","0","1","11","0"
dickharris/2515981,"Harris, Dick","1965",San Diego Chargers,"1","15","0","3","8","0"
dickharris/2515981,"Harris, Dick","1964",San Diego Chargers,--,--,--,--,--,--
dickharris/2515981,"Harris, Dick","1963",San Diego Chargers,"2","34","0","4","43","0"
dickharris/2515981,"Harris, Dick","1962",San Diego Chargers,--,--,--,"7","95","0"
dickharris/2515981,"Harris, Dick","1961",San Diego Chargers,--,--,--,--,--,--
dickharris/2515981,"Harris, Dick","1960",Los Angeles Chargers,--,--,--,"13","105","0"
alvingarrett/2514646,"Garrett, Alvin","1984",Washington Redskins,--,--,--,--,--,--
alvingarrett/2514646,"Garrett, Alvin","1983",Washington Redskins,"2","50","0",--,--,--
alvingarrett/2514646,"Garrett, Alvin","1982",Washington Redskins,"2","35","0",--,--,--
alvingarrett/2514646,"Garrett, Alvin","1981",New York Giants,"16","361","0",--,--,--
alvingarrett/2514646,"Garrett, Alvin","1981",Washington Redskins,"2","40","0",--,--,--
alvingarrett/2514646,"Garrett, Alvin","1981",New York Giants,"16","361","0","8","57","0"
alvingarrett/2514646,"Garrett, Alvin","1981",Washington Redskins,"2","40","0","8","57","0"
alvingarrett/2514646,"Garrett, Alvin","1980",New York Giants,"28","527","0","35","287","0"
hopalongcassady/2511257,"Cassady, Hopalong","1963",Detroit Lions,--,--,--,"1","7","0"
hopalongcassady/2511257,"Cassady, Hopalong","1962",Cleveland Browns,"10","233","0","1","2","0"
hopalongcassady/2511257,"Cassady, Hopalong","1962",Philadelphia Eagles,"14","249","0","1","2","0"
hopalongcassady/2511257,"Cassady, Hopalong","1962",Cleveland Browns,"10","233","0","7","47","0"
hopalongcassady/2511257,"Cassady, Hopalong","1962",Philadelphia Eagles,"14","249","0","7","47","0"
hopalongcassady/2511257,"Cassady, Hopalong","1961",Detroit Lions,"9","127","0","16","159","0"
hopalongcassady/2511257,"Cassady, Hopalong","1960",Detroit Lions,"4","82","0","1","25","0"
hopalongcassady/2511257,"Cassady, Hopalong","1959",Detroit Lions,"8","163","0","1","14","0"
hopalongcassady/2511257,"Cassady, Hopalong","1958",Detroit Lions,"6","126","0","3","4","0"
hopalongcassady/2511257,"Cassady, Hopalong","1957",Detroit Lions,"10","232","0",--,--,--
hopalongcassady/2511257,"Cassady, Hopalong","1956",Detroit Lions,"16","382","0","13","83","0"
yamonfigurs/2495602,"Figurs, Yamon","2010",Oakland Raiders,"5","105","0",--,--,--
yamonfigurs/2495602,"Figurs, Yamon","2010",Cleveland Browns,--,--,--,--,--,--
yamonfigurs/2495602,"Figurs, Yamon","2010",Oakland Raiders,"5","105","0","1","10","0"
yamonfigurs/2495602,"Figurs, Yamon","2010",Cleveland Browns,--,--,--,"1","10","0"
yamonfigurs/2495602,"Figurs, Yamon","2009",Detroit Lions,--,--,--,"2","21","0"
yamonfigurs/2495602,"Figurs, Yamon","2009",Tampa Bay Buccaneers,"5","105","0","2","21","0"
yamonfigurs/2495602,"Figurs, Yamon","2009",Detroit Lions,--,--,--,--,--,--
yamonfigurs/2495602,"Figurs, Yamon","2009",Tampa Bay Buccaneers,"5","105","0",--,--,--
yamonfigurs/2495602,"Figurs, Yamon","2008",Baltimore Ravens,"29","608","0","23","138","0"
yamonfigurs/2495602,"Figurs, Yamon","2007",Baltimore Ravens,"46","1,138","1","16","171","1"
billybarnes/2509009,"Barnes, Billy","1966",Minnesota Vikings,--,--,--,--,--,--
billybarnes/2509009,"Barnes, Billy","1965",Minnesota Vikings,"3","37","0",--,--,--
billybarnes/2509009,"Barnes, Billy","1963",Washington Redskins,--,--,--,"1","0","0"
billybarnes/2509009,"Barnes, Billy","1962",Washington Redskins,--,--,--,--,--,--
billybarnes/2509009,"Barnes, Billy","1961",Philadelphia Eagles,--,--,--,--,--,--
